date, temp_min, temp_max
19100816, 14.5, 24.8
19100817, 17.5, 24.0
19100818, 17.6, 26.4
19100819, 18.0, 24.7
19100820, 15.5, 25.8
19100821, 19.3, 25.3
19100822, 18.4, 25.7
19100823, 18.4, 25.7
19100824, 16.5, 25.3
19100825, 16.3, 25.8
19100826, 14.9, 26.8
19100827, 15.5, 24.1
19100828, 18.0, 24.2
19100829, 17.5, 25.2
19100830, 17.7, 24.1
19100831, 17.7, 24.8
19100901, 18.6, 25.2
19100902, 19.1, 24.6
19100903, 18.4, 25.7
19100904, 18.9, 24.7
19100905, 18.4, 25.2
19100906, 17.5, 24.7
19100907, 15.8, 25.8
19100908, 13.8, 26.4
19100909, 14.5, 27.0
19100910, 14.0, 29.0
19100911, 16.9, 28.5
19100912, 14.5, 28.5
19100913, 15.9, 27.0
19100914, 18.4, 24.6
19100915, 15.6, 26.3
19100916, 16.4, 27.3
19100917, 19.3, 27.3
19100918, 19.1, 27.4
19100919, 18.5, 27.9
19100920, 18.7, 26.9
19100921, 20.8, 27.1
19100922, 20.8, 27.1
19100923, 20.7, 25.7
19100924, 19.1, 26.0
19100925, 19.7, 26.3
19100926, 20.0, 28.0
19100927, 21.2, 28.0
19100928, 20.5, 27.9
19100929, 17.2, 28.0
19100930, 18.1, 29.8
19101001, 18.7, 30.7
19101002, 20.8, 30.5
19101003, 18.7, 29.7
19101004, 18.7, 30.6
19101005, 19.5, 32.2
19101006, 21.1, 30.5
19101007, 20.8, 29.2
19101008, 19.5, 30.3
19101009, 23.7, 31.1
19101010, 22.0, 27.6
19101011, 19.4, 25.1
19101012, 14.4, 25.4
19101013, 19.1, 24.6
19101014, 21.5, 25.7
19101015, 21.1, 27.6
19101016, 21.0, 25.1
19101017, 20.8, 26.6
19101018, 20.2, 28.1
19101019, 20.0, 28.2
19101020, 20.1, 27.2
19101021, 17.7, 30.1
19101022, 18.2, 31.0
19101023, 21.7, 29.3
19101024, 21.7, 29.4
19101025, 19.4, 28.1
19101026, 18.2, 30.5
19101027, 18.4, 31.6
19101028, 20.2, 27.6
19101029, 22.1, 28.7
19101030, 21.0, 29.3
19101031, 20.2, 29.7
19101101, 20.7, 29.2
19101102, 21.2, 28.9
19101103, 21.1, 27.3
19101104, 21.8, 29.7
19101105, 22.3, 30.3
19101106, 22.6, 31.2
19101107, 22.9, 31.3
19101108, 23.6, 31.1
19101109, 23.7, 29.6
19101110, 22.3, 28.5
19101111, 21.8, 30.5
19101112, 23.5, 31.5
19101113, 23.7, 31.2
19101114, 21.5, 29.6
19101115, 20.3, 28.4
19101116, 21.7, 28.5
19101117, 21.3, 26.4
19101118, 20.4, 27.4
19101119, 19.1, 27.9
19101120, 17.0, 28.4
19101121, 17.0, 30.8
19101122, 15.0, 31.0
19101123, 17.7, 30.2
19101124, 20.1, 31.0
19101125, 19.9, 31.0
19101126, 20.7, 31.1
19101127, 21.8, 32.4
19101128, 21.5, 28.7
19101129, 22.5, 29.7
19101130, 22.2, 30.8
19101201, 23.4, 30.4
19101202, 23.2, 30.9
19101203, 23.9, 30.9
19101204, 23.6, 31.5
19101205, 25.8, 32.0
19101206, 22.7, 31.6
19101207, 26.1, 32.0
19101208, 23.5, 31.2
19101209, 24.2, 31.0
19101210, 23.9, 27.6
19101211, 23.4, 30.5
19101212, 24.8, 31.8
19101213, 23.7, 30.3
19101214, 22.9, 32.3
19101215, 25.0, 33.6
19101216, 23.1, 33.4
19101217, 20.8, 33.0
19101218, 21.0, 31.5
19101219, 25.3, 32.6
19101220, 24.8, 33.9
19101221, 25.4, 32.0
19101222, 25.4, 31.5
19101223, 23.9, 32.0
19101224, 24.8, 32.4
19101225, 23.9, 30.5
19101226, 25.3, 31.1
19101227, 23.4, 30.9
19101228, 23.6, 31.5
19101229, 22.5, 30.5
19101230, 23.9, 28.0
19101231, 22.1, 26.5
19110101, 20.1, 22.7
19110102, 21.0, 22.9
19110103, 21.0, 28.0
19110104, 22.6, 29.3
19110105, 22.8, 30.9
19110106, 23.2, 30.0
19110107, 22.7, 29.4
19110108, 23.5, 29.6
19110109, 22.8, 31.0
19110110, 23.2, 31.0
19110111, 24.1, 34.0
19110112, 25.9, 32.7
19110113, 24.4, 33.2
19110114, 20.1, 32.6
19110115, 20.1, 33.0
19110116, 21.7, 32.7
19110117, 22.2, 32.7
19110118, 21.8, 32.2
19110119, 22.1, 32.6
19110120, 20.6, 32.2
19110121, 22.5, 31.0
19110122, 22.8, 29.9
19110123, 22.1, 30.0
19110124, 21.7, 29.6
19110125, 22.6, 27.2
19110126, 22.1, 30.0
19110127, 22.1, 30.6
19110128, 23.2, 29.9
19110129, 22.6, 29.8
19110130, 22.3, 30.4
19110131, 22.8, 30.5
19110201, 23.1, 27.2
19110202, 23.0, 28.8
19110203, 23.1, 33.2
19110204, 23.7, 33.7
19110205, 24.2, 33.3
19110206, 23.1, 29.9
19110207, 22.4, 28.9
19110208, 21.8, 28.9
19110209, 21.3, 28.3
19110210, 22.4, 24.3
19110211, 21.1, 25.1
19110212, 23.5, 32.8
19110213, 22.3, 34.0
19110214, 22.8, 33.7
19110215, 24.6, 31.8
19110216, 24.3, 32.7
19110217, 23.4, 31.3
19110218, 22.8, 31.7
19110219, 22.4, 30.0
19110220, 22.4, 29.6
19110221, 21.8, 28.0
19110222, 21.5, 31.7
19110223, 22.0, 30.5
19110224, 20.9, 30.7
19110225, 21.5, 30.9
19110226, 21.2, 30.0
19110227, 21.5, 29.2
19110228, 21.8, 30.4
19110301, 23.0, 29.4
19110302, 21.6, 27.3
19110303, 21.6, 31.8
19110304, 22.0, 29.8
19110305, 21.6, 29.6
19110306, 21.9, 29.4
19110307, 21.3, 30.2
19110308, 22.3, 29.8
19110309, 23.9, 29.8
19110310, 22.5, 28.5
19110311, 21.9, 28.6
19110312, 22.8, 30.8
19110313, 19.1, 29.7
19110314, 21.6, 31.1
19110315, 23.0, 29.2
19110316, 21.4, 26.7
19110317, 22.1, 26.9
19110318, 23.0, 29.5
19110319, 22.1, 30.6
19110320, 23.0, 26.8
19110321, 22.4, 27.3
19110322, 21.0, 25.3
19110323, 21.6, 29.1
19110324, 21.2, 30.4
19110325, 23.0, 30.8
19110326, 21.6, 31.4
19110327, 21.6, 30.9
19110328, 21.7, 31.4
19110329, 22.8, 30.6
19110330, 23.0, 25.5
19110331, 22.4, 24.8
19110401, 19.4, 23.1
19110402, 18.9, 23.1
19110403, 17.4, 26.6
19110404, 20.5, 26.5
19110405, 19.7, 29.8
19110406, 20.3, 29.8
19110407, 20.4, 27.4
19110408, 22.9, 28.0
19110409, 24.0, 27.6
19110410, 23.5, 27.6
19110411, 21.8, 28.5
19110412, 19.0, 28.6
19110413, 18.6, 30.3
19110414, 20.3, 28.6
19110415, 21.7, 25.2
19110416, 20.7, 25.3
19110417, 21.5, 27.5
19110418, 20.6, 27.8
19110419, 21.2, 26.0
19110420, 18.6, 26.4
19110421, 15.9, 27.7
19110422, 13.2, 28.8
19110423, 13.0, 28.6
19110424, 12.7, 27.0
19110425, 15.1, 27.5
19110426, 18.7, 28.2
19110427, 12.5, 28.8
19110428, 13.3, 28.4
19110429, 14.4, 27.9
19110430, 14.6, 27.2
19110501, 19.4, 25.7
19110502, 14.4, 27.4
19110503, 14.9, 26.8
19110504, 17.8, 26.3
19110505, 19.5, 26.3
19110506, 19.3, 26.0
19110507, 19.0, 25.8
19110508, 18.3, 26.3
19110509, 18.1, 23.3
19110510, 17.4, 26.9
19110511, 17.1, 26.0
19110512, 14.2, 24.3
19110513, 10.9, 23.7
19110514, 12.7, 24.8
19110515, 18.5, 26.2
19110516, 18.3, 25.8
19110517, 18.3, 26.2
19110518, 20.1, 25.9
19110519, 20.8, 26.2
19110520, 18.8, 26.5
19110521, 18.2, 26.5
19110522, 17.4, 27.1
19110523, 17.1, 26.9
19110524, 19.3, 24.4
19110525, 19.8, 25.2
19110526, 19.9, 25.8
19110527, 17.7, 27.2
19110528, 18.7, 25.2
19110529, 16.8, 23.8
19110530, 15.4, 23.5
19110531, 15.3, 24.8
19110601, 19.5, 25.1
19110602, 14.6, 26.1
19110603, 15.6, 26.4
19110604, 14.7, 26.4
19110605, 13.4, 27.0
19110606, 14.6, 26.0
19110607, 13.1, 24.9
19110608, 12.8, 25.2
19110609, 12.8, 24.0
19110610, 7.6, 23.2
19110611, 8.6, 23.7
19110612, 7.2, 21.1
19110613, 6.9, 22.7
19110614, 13.2, 24.9
19110615, 17.1, 23.2
19110616, 16.7, 25.5
19110617, 13.2, 25.5
19110618, 14.6, 27.3
19110619, 13.7, 27.2
19110620, 14.2, 26.4
19110621, 15.1, 22.2
19110622, 13.1, 20.4
19110623, 8.8, 21.6
19110624, 12.4, 21.7
19110625, 15.1, 24.3
19110626, 16.7, 23.1
19110627, 16.7, 23.6
19110628, 16.7, 23.9
19110629, 15.3, 21.5
19110630, 15.3, 22.9
19110701, 16.9, 20.2
19110702, 15.8, 21.8
19110703, 16.5, 21.8
19110704, 16.0, 23.2
19110705, 16.3, 22.5
19110706, 18.5, 23.4
19110707, 16.4, 24.6
19110708, 17.7, 24.6
19110709, 16.3, 24.6
19110710, 13.1, 25.7
19110711, 12.1, 26.1
19110712, 12.8, 26.8
19110713, 13.1, 25.7
19110714, 16.3, 25.4
19110715, 15.2, 23.6
19110716, 16.5, 23.8
19110717, 15.8, 25.7
19110718, 16.9, 27.3
19110719, 15.8, 25.1
19110720, 9.8, 23.8
19110721, 9.3, 23.4
19110722, 10.0, 25.2
19110723, 11.3, 24.0
19110724, 10.1, 22.9
19110725, 6.7, 21.2
19110726, 6.1, 23.2
19110727, 9.2, 24.3
19110728, 13.3, 23.8
19110729, 15.3, 24.6
19110730, 15.1, 26.4
19110731, 11.7, 26.0
19110801, 11.0, 24.1
19110802, 11.0, 24.9
19110803, 12.1, 24.1
19110804, 12.3, 24.7
19110805, 15.5, 24.7
19110806, 15.6, 24.4
19110807, 8.5, 24.3
19110808, 15.5, 23.6
19110809, 16.1, 24.0
19110810, 11.0, 23.2
19110811, 10.2, 24.7
19110812, 16.7, 23.5
19110813, 12.8, 24.7
19110814, 14.4, 24.7
19110815, 11.0, 25.8
19110816, 12.0, 25.8
19110817, 12.6, 26.4
19110818, 13.8, 27.0
19110819, 17.4, 25.9
19110820, 17.3, 24.7
19110821, 14.5, 24.8
19110822, 14.2, 26.9
19110823, 13.2, 26.8
19110824, 15.5, 28.0
19110825, 19.0, 25.5
19110826, 11.3, 24.2
19110827, 10.5, 24.1
19110828, 12.4, 25.2
19110829, 14.4, 23.8
19110830, 15.5, 24.7
19110831, 17.8, 24.2
19110901, 17.0, 24.9
19110902, 14.7, 26.9
19110903, 14.5, 27.8
19110904, 12.6, 27.9
19110905, 11.4, 27.4
19110906, 13.3, 27.4
19110907, 13.8, 26.3
19110908, 13.4, 28.0
19110909, 11.2, 28.5
19110910, 13.2, 26.5
19110911, 14.7, 26.9
19110912, 13.0, 26.9
19110913, 13.0, 26.9
19110914, 19.2, 25.8
19110915, 17.4, 29.5
19110916, 14.2, 28.0
19110917, 13.3, 25.3
19110918, 13.3, 25.8
19110919, 15.6, 26.3
19110920, 15.5, 26.0
19110921, 12.9, 26.7
19110922, 11.9, 27.4
19110923, 15.3, 28.0
19110924, 16.2, 28.0
19110925, 16.0, 28.1
19110926, 17.8, 26.4
19110927, 17.4, 27.3
19110928, 15.6, 28.5
19110929, 15.3, 28.2
19110930, 16.9, 29.8
19111001, 19.4, 30.5
19111002, 22.7, 29.9
19111003, 22.8, 28.6
19111004, 20.2, 29.3
19111005, 14.1, 28.6
19111006, 17.5, 28.3
19111007, 17.5, 28.9
19111008, 18.2, 28.7
19111009, 18.7, 29.5
19111010, 20.7, 29.3
19111011, 18.2, 29.9
19111012, 18.2, 30.6
19111013, 16.8, 30.4
19111014, 17.5, 29.8
19111015, 13.7, 30.5
19111016, 13.8, 30.0
19111017, 19.4, 29.3
19111018, 22.1, 30.2
19111019, 18.7, 31.5
19111020, 18.7, 27.5
19111021, 21.0, 28.4
19111022, 18.7, 29.1
19111023, 17.5, 29.4
19111024, 19.6, 29.7
19111025, 17.0, 29.4
19111026, 19.7, 30.9
19111027, 18.7, 29.4
19111028, 19.4, 28.1
19111029, 19.5, 28.1
19111030, 18.7, 28.2
19111031, 18.2, 27.1
19111101, 15.3, 28.5
19111102, 15.9, 29.2
19111103, 15.9, 29.0
19111104, 18.4, 29.7
19111105, 18.2, 28.0
19111106, 19.9, 27.3
19111107, 17.9, 26.9
19111108, 16.4, 29.1
19111109, 17.7, 30.5
19111110, 15.7, 29.1
19111111, 16.4, 29.7
19111112, 16.7, 30.1
19111113, 16.5, 29.8
19111114, 15.7, 30.4
19111115, 19.6, 31.6
19111116, 17.7, 31.3
19111117, 20.0, 32.4
19111118, 21.4, 30.2
19111119, 22.0, 29.2
19111120, 19.9, 30.2
19111121, 21.2, 32.0
19111122, 21.7, 30.0
19111123, 22.1, 29.5
19111124, 22.3, 30.8
19111125, 21.7, 31.5
19111126, 21.5, 31.3
19111127, 21.5, 27.7
19111128, 21.7, 28.7
19111129, 22.3, 27.9
19111130, 20.4, 31.3
19111201, 23.4, 30.9
19111202, 23.9, 30.9
19111203, 21.1, 31.1
19111204, 21.0, 30.8
19111205, 22.0, 31.0
19111206, 21.5, 31.5
19111207, 24.6, 32.4
19111208, 26.1, 32.1
19111209, 24.2, 31.6
19111210, 24.3, 31.5
19111211, 22.1, 32.1
19111212, 22.4, 33.1
19111213, 22.1, 32.7
19111214, 22.4, 32.0
19111215, 24.4, 32.5
19111216, 23.9, 32.2
19111217, 26.4, 32.4
19111218, 24.8, 34.1
19111219, 26.1, 31.4
19111220, 23.7, 31.5
19111221, 19.8, 31.6
19111222, 22.7, 33.2
19111223, 23.9, 37.1
19111224, 23.9, 33.0
19111225, 25.4, 32.0
19111226, 25.4, 32.1
19111227, 23.4, 31.7
19111228, 27.3, 32.0
19111229, 24.7, 32.5
19111230, 23.4, 32.4
19111231, 99999.9, 31.6
19120101, 21.0, 33.7
19120102, 20.6, 33.7
19120103, 21.5, 32.2
19120104, 22.1, 32.1
19120105, 22.1, 33.8
19120106, 22.9, 33.3
19120107, 23.2, 34.4
19120108, 22.5, 35.5
19120109, 23.2, 31.2
19120110, 23.2, 31.6
19120111, 22.8, 31.6
19120112, 22.5, 32.3
19120113, 23.2, 36.0
19120114, 22.7, 30.6
19120115, 22.1, 31.1
19120116, 21.7, 30.5
19120117, 21.3, 30.6
19120118, 19.1, 34.5
19120119, 22.7, 33.2
19120120, 23.2, 31.2
19120121, 22.7, 31.8
19120122, 22.6, 29.4
19120123, 23.7, 99999.9
19120124, 22.1, 32.3
19120125, 22.2, 32.2
19120126, 22.7, 33.2
19120127, 22.8, 32.6
19120128, 23.9, 31.1
19120129, 23.6, 31.1
19120130, 22.7, 31.0
19120131, 21.1, 29.7
19120201, 21.3, 28.3
19120202, 21.1, 27.8
19120203, 19.9, 28.9
19120204, 20.0, 31.0
19120205, 19.2, 31.2
19120206, 20.0, 31.1
19120207, 20.5, 30.6
19120208, 21.1, 30.6
19120209, 21.8, 31.3
19120210, 24.9, 32.1
19120211, 21.8, 33.0
19120212, 22.8, 31.1
19120213, 22.4, 31.3
19120214, 22.4, 30.4
19120215, 24.2, 31.5
19120216, 23.3, 30.6
19120217, 23.1, 30.6
19120218, 22.3, 29.7
19120219, 22.0, 30.1
19120220, 22.0, 29.7
19120221, 20.6, 30.0
19120222, 23.1, 27.3
19120223, 23.1, 30.3
19120224, 23.7, 30.0
19120225, 23.1, 30.1
19120226, 21.8, 27.8
19120227, 21.8, 26.9
19120228, 22.1, 29.5
19120229, 21.1, 31.4
19120301, 20.7, 31.4
19120302, 22.0, 31.4
19120303, 24.2, 29.7
19120304, 22.0, 30.3
19120305, 22.4, 31.4
19120306, 21.6, 32.3
19120307, 22.8, 29.1
19120308, 22.8, 27.4
19120309, 22.2, 31.8
19120310, 24.0, 32.5
19120311, 23.3, 28.6
19120312, 23.3, 29.8
19120313, 22.1, 28.9
19120314, 21.0, 31.9
19120315, 22.1, 31.8
19120316, 23.7, 27.5
19120317, 22.1, 28.1
19120318, 21.2, 28.8
19120319, 20.1, 28.8
19120320, 19.1, 30.9
19120321, 19.4, 32.5
19120322, 21.6, 30.9
19120323, 20.7, 30.9
19120324, 21.0, 29.4
19120325, 20.2, 29.9
19120326, 18.5, 31.5
19120327, 17.6, 31.6
19120328, 18.5, 31.6
19120329, 19.8, 31.4
